country,happiness_rank,happiness_score,gdp_per_capita,health_(life_expectancy),freedom,trust_(government_corruption),year,code
Burkina Faso,145,3.739,0.31995,0.21297,0.3337,0.12533,2016,BFA
Uganda,145,3.739,0.34719,0.19625,0.43653000000000003,0.06442,2016,UGA
Yemen,147,3.7239999999999998,0.57939,0.31048000000000003,0.2287,0.05892000000000001,2016,YEM
Madagascar,148,3.695,0.27954,0.37109000000000003,0.13684000000000002,0.07506,2016,MDG
Tanzania,149,3.6660000000000004,0.47155,0.35700000000000004,0.3176,0.05099,2016,
Liberia,150,3.622,0.10705999999999999,0.23165,0.25748000000000004,0.04852,2016,LBR
Guinea,151,3.6069999999999998,0.22415,0.18829,0.30953,0.1192,2016,GIN
Rwanda,152,3.515,0.32846,0.31865,0.5432,0.50521,2016,RWA
Benin,153,3.484,0.39499,0.21028000000000002,0.39747,0.06681000000000001,2016,BEN
Afghanistan,154,3.36,0.38227,0.17344,0.1643,0.07112,2016,AFG
Togo,155,3.303,0.28123000000000004,0.24811,0.34678000000000003,0.11587,2016,TGO
Syria,156,3.069,0.7471899999999999,0.6299399999999999,0.06912,0.17232999999999998,2016,
Burundi,157,2.905,0.06831,0.15747,0.0432,0.09419,2016,BDI
