country,happiness_rank,happiness_score,gdp_per_capita,health_(life_expectancy),freedom,trust_(government_corruption),code
Spain,34,6.402999877999999,1.384397864,0.8889606,0.40878123,0.070914097,ESP
Qatar,35,6.375,1.870765686,0.710098088,0.604130983,0.439299256,QAT
Colombia,36,6.3569998739999996,1.070622325,0.5950279239999999,0.477487415,0.046668742,COL
Saudi Arabia,37,6.343999863,1.530623555,0.59014833,0.449750572,0.273432255,SAU
Trinidad and Tobago,38,6.168000221000001,1.361355901,0.519983292,0.518630743,0.008964816,TTO
Kuwait,39,6.105000018999999,1.6329524519999998,0.632105708,0.49633759299999997,0.21515955,KWT
Slovakia,40,6.09800005,1.325393558,0.7127329109999999,0.295817465,0.024210852,SVK
Bahrain,41,6.086999893,1.488412261,0.653133035,0.5367469189999999,0.25704217,BHR
Malaysia,42,6.084000111,1.29121542,0.618784428,0.40226498200000005,0.065600708,MYS
Nicaragua,43,6.071000099,0.737299204,0.653095961,0.447551847,0.13068798199999998,NIC
Ecuador,44,6.007999897,1.0008203979999999,0.6856362220000001,0.45519819899999997,0.140134647,ECU
El Salvador,45,6.002999783,0.9097844959999999,0.596018553,0.43245253,0.08998096,SLV
Poland,46,5.97300005,1.291787863,0.699475348,0.520342112,0.059307806,POL
Uzbekistan,47,5.971000195,0.786441088,0.498272628,0.658248663,0.24652822300000002,UZB
Italy,48,5.964000225,1.395066619,0.8531443479999999,0.256450713,0.028028091,ITA
Russia,49,5.962999821,1.2817780970000001,0.547349334,0.37378311200000003,0.032962881,RUS
Belize,50,5.9559998510000005,0.9079753159999999,0.450191766,0.547509372,0.09658107199999999,
Japan,51,5.920000076,1.4169151780000002,0.9134758709999999,0.505625546,0.163760737,JPN
Lithuania,52,5.90199995,1.314582348,0.62894994,0.234231785,0.011865643,LTU
Algeria,53,5.872000217,1.091864467,0.6175846460000001,0.233335808,0.14609611,DZA
Latvia,54,5.849999905,1.260748625,0.638566971,0.325707912,0.073842727,LVA
